,latitude,longitude,floorSize,price,address,bedrooms,bathrooms,type
0,33.738061,-116.364176,1233.0,437900.0, Palm Desert,3,2.0, House for sale
1,33.962587,-116.571054,1618.0,389000.0, Desert Hot Springs,3,3.0, House for sale
2,33.824434,-116.396561,1875.0,429900.0, Thousand Palms,4,2.0, House for sale
3,33.756014,-116.389203,1850.0,549900.0, Palm Desert,3,2.0, House for sale
4,33.754975,-116.388469,1850.0,524900.0, Palm Desert,3,2.0, House for sale
5,33.676513,-116.310916,1451.0,495000.0, La Quinta,3,2.0, House for sale
6,33.770321,-116.286901,1194.0,290000.0, Palm Desert,2,2.0, Foreclosure
7,33.735959,-116.252546,1596.0,365000.0, Indio,2,2.0, House for sale
8,33.701354,-116.208486,1346.0,399000.0, Indio,3,2.0, House for sale
9,33.813553,-116.50651,1134.0,515000.0, Palm Springs,3,2.0, House for sale
10,33.653787,-116.266358,3365.0,99000.0, La Quinta,3,4.0, House for sale
11,33.72671,-116.370385,1145.0,319000.0, Palm Desert,2,2.0, Townhouse for sale
12,33.928382,-116.450512,968.0,79000.0, Desert Hot Springs,2,1.0, Home for sale
13,33.797166,-116.42768,1547.0,335000.0, Rancho Mirage,2,2.0, Condo for sale
14,33.80717,-116.467132,1825.0,495000.0, Cathedral City,4,2.0, House for sale
15,33.746814,-116.311547,1392.0,385000.0, Palm Desert,2,2.0, Coming soon
16,33.956137,-116.518659,1248.0,179000.0, Desert Hot Springs,3,2.0, Home for sale
17,33.733745,-116.17057,1588.0,365000.0, Indio,2,2.0, House for sale
18,33.917824,-116.386425,2170.0,369999.0, Desert Hot Springs,4,3.0, House for sale
19,33.696427,-116.401721,1320.0,325000.0, Palm Desert,2,2.0, Condo for sale
20,33.709801,-116.254205,1000.0,55000.0, Indio,2,2.0, Home for sale
21,33.829047,-116.480486,1478.0,285000.0, Cathedral City,2,2.0, Condo for sale
22,33.738035,-116.361119,1232.0,349000.0, Palm Desert,3,2.0, House for sale
23,33.864753,-116.564449,2107.0,799000.0, Palm Springs,4,3.0, House for sale
24,33.758253,-116.37853,1642.0,279000.0, Palm Desert,3,2.0, Home for sale
25,33.818532,-116.45106,1779.0,420000.0, Cathedral City,3,2.0, House for sale
26,33.797359,-116.509774,2452.0,645000.0, Palm Springs,3,3.0, House for sale
27,33.726545,-116.388896,1604.0,535000.0, Palm Desert,4,3.0, House for sale
28,33.825825,-116.438011,2803.0,749000.0, Rancho Mirage,3,4.0, House for sale
29,33.780881,-116.433735,1631.0,689000.0, Rancho Mirage,3,3.0, House for sale
30,33.820016,-116.535199,1200.0,499000.0, Palm Springs,2,3.0, Townhouse for sale
31,33.829052,-116.480498,1478.0,299900.0, Cathedral City,2,2.0, Condo for sale
32,33.823935,-116.386399,1188.0,299900.0, Thousand Palms,3,2.0, Home for sale
33,33.655277,-116.252274,3370.0,1299900.0, La Quinta,3,4.0, House for sale
34,33.726546,-116.388682,1350.0,455000.0, Palm Desert,3,2.0, House for sale
35,33.819052,-116.464874,1570.0,439000.0, Cathedral City,3,2.0, House for sale
